,City,lat,lon,temp_K,temp_C
0,Mont Saint Michel,48.6359541,-1.511459954959514,291.54,18.390000000000043
1,St Malo,48.649518,-2.0260409,291.55,18.400000000000034
2,Bayeux,49.2764624,-0.7024738,291.29,18.140000000000043
3,Le Havre,49.4938975,0.1079732,291.66,18.510000000000048
4,Rouen,49.4404591,1.0939658,292.12,18.970000000000027
5,Paris,48.8588897,2.3200410217200766,292.03,18.879999999999995
6,Amiens,49.8941708,2.2956951,290.89,17.74000000000001
7,Lille,50.6365654,3.0635282,292.2,19.05000000000001
8,Strasbourg,48.584614,7.7507127,296.03,22.879999999999995
9,Chateau du Haut Koenigsbourg,48.2495226,7.3454923,293.94,20.79000000000002
10,Colmar,48.0777517,7.3579641,297.09,23.939999999999998
11,Eguisheim,48.0447968,7.3079618,297.05,23.900000000000034
12,Besancon,47.2380222,6.0243622,295.0,21.850000000000023
13,Dijon,47.3215806,5.0414701,293.95,20.80000000000001
14,Annecy,45.8992348,6.1288847,297.02,23.870000000000005
15,Lyon,45.7578137,4.8320114,296.16,23.010000000000048
16,Grenoble,45.1875602,5.7357819,295.23,22.08000000000004
17,Verdon Gorge,,,0.0,-273.15
18,Bormes les Mimosas,43.1506968,6.3419285,303.72,30.57000000000005
19,Cassis,43.2140359,5.5396318,301.35,28.200000000000045
20,Marseille,43.2961743,5.3699525,301.04,27.890000000000043
21,Aix en Provence,43.5298424,5.4474738,299.81,26.660000000000025
22,Avignon ,43.9492493,4.8059012,300.12,26.970000000000027
23,Uzès,44.0121279,4.4196718,299.5,26.350000000000023
24,Nimmes,,,0.0,-273.15
25,Aigues Mortes,43.5658225,4.1912837,301.1,27.950000000000045
26,Saintes Maries de la Mer,43.4522771,4.4287172,300.73,27.58000000000004
27,Collioure,42.52505,3.0831554,298.22,25.07000000000005
28,Carcassonne,43.2130358,2.3491069,295.17,22.02000000000004
29,Ariege,,,0.0,-273.15
30,Toulouse,43.6044622,1.4442469,293.96,20.810000000000002
31,Montauban,44.0175835,1.3549991,292.62,19.470000000000027
32,Biarritz,43.4832523,-1.5592776,295.28,22.129999999999995
33,Bayonne,43.4945144,-1.4736657,295.34,22.189999999999998
34,La Rochelle,46.1591126,-1.1520434,293.22,20.07000000000005
